Date,Company name,Open,High,Low,Close,Adj Close,Volume
02-01-2024,Microsoft,373.8599853515625,375.8999938964844,366.7699890136719,370.8699951171875,368.8540954589844,25258600
03-01-2024,Microsoft,369.0100098,373.2600098,368.5100098,370.6000061035156,368.5855712890625,23083500
04-01-2024,Microsoft,370.6700134277344,373.1000061035156,367.1700134277344,367.94000244140625,365.94000244140625,20901500
05-01-2024,Microsoft,368.9700012207031,372.05999755859375,366.5,367.75,365.7510681152344,20987000
08-01-2024,Microsoft,369.29998779296875,375.20001220703125,369.0100098,374.69000244140625,372.6533508300781,23134000
09-01-2024,Microsoft,372.0100098,375.9899902,371.19000244140625,375.7900085449219,373.7473449707031,20830000
10-01-2024,Microsoft,376.3699951171875,384.1700134277344,376.32000732421875,382.7699890136719,380.6894226074219,25514200
11-01-2024,Microsoft,386,390.67999267578125,380.3800048828125,384.6300048828125,382.5393066,27850800
12-01-2024,Microsoft,385.4899902,388.67999267578125,384.6499938964844,388.4700012207031,386.3584289550781,21645700
16-01-2024,Microsoft,393.6600036621094,394.0299987792969,387.6199951171875,390.2699890136719,388.1486511230469,27202300
17-01-2024,Microsoft,387.9800109863281,390.1099853515625,384.80999755859375,389.4700012207031,387.3529968261719,22234100
18-01-2024,Microsoft,391.7200012207031,393.9899902,390.1199951171875,393.8699951171875,391.72906494140625,23392100
19-01-2024,Microsoft,395.7600098,398.6700134277344,393.5,398.6700134277344,396.50299072265625,29272000
22-01-2024,Microsoft,400.0199890136719,400.6199951171875,393.5899963378906,396.5100098,394.3547668457031,27016900
23-01-2024,Microsoft,395.75,399.3800048828125,393.92999267578125,398.8999938964844,396.73175048828125,20525900
24-01-2024,Microsoft,401.5400085449219,405.6300048828125,400.45001220703125,402.55999755859375,400.3718262,24867000
25-01-2024,Microsoft,404.32000732421875,407.0100098,402.5299987792969,404.8699951171875,402.6692810058594,21021200
26-01-2024,Microsoft,404.3699951171875,406.1700134277344,402.42999267578125,403.92999267578125,401.734375,17803300
29-01-2024,Microsoft,406.05999755859375,409.9800109863281,404.3299865722656,409.7200012207031,407.4929199,24510200
30-01-2024,Microsoft,412.2600098,413.04998779296875,406.45001220703125,408.5899963378906,406.36907958984375,33477600
31-01-2024,Microsoft,406.9599914550781,415.32000732421875,397.2099914550781,397.5799865722656,395.4189147949219,47871100
01-02-2024,Microsoft,401.8299865722656,408,401.79998779296875,403.7799987792969,401.5852051,30657700
02-02-2024,Microsoft,403.80999755859375,412.6499938964844,403.55999755859375,411.2200012207031,408.9847412109375,28245000
05-02-2024,Microsoft,409.8999938964844,411.1600036621094,403.9899902,405.6499938964844,403.4450684,25352300
06-02-2024,Microsoft,405.8800048828125,407.9700012207031,402.9100036621094,405.4899902,403.2858887,18382600
07-02-2024,Microsoft,407.44000244140625,414.29998779296875,407.3999938964844,414.04998779296875,411.7994079589844,22340500
08-02-2024,Microsoft,414.04998779296875,415.55999755859375,412.5299987792969,414.1099853515625,411.8590393066406,21225300
09-02-2024,Microsoft,415.25,420.82000732421875,415.0899963378906,420.54998779296875,418.2640380859375,22032800
12-02-2024,Microsoft,420.55999755859375,420.7399902,414.75,415.2600098,413.0028381347656,21202900
13-02-2024,Microsoft,404.94000244140625,410.07000732421875,403.3900146484375,406.32000732421875,404.11138916015625,27824900
14-02-2024,Microsoft,408.07000732421875,409.8399963378906,404.57000732421875,409.4899902,408.01727294921875,20401200
15-02-2024,Microsoft,408.1400146484375,409.1300048828125,404.2900085449219,406.55999755859375,405.09783935546875,21825500
16-02-2024,Microsoft,407.9599914550781,408.2900085449219,403.44000244140625,404.05999755859375,402.6068420410156,22281100
20-02-2024,Microsoft,403.2399902,404.4899902,398.0100098,402.7900085449219,401.3414001464844,24307900
21-02-2024,Microsoft,400.1700134277344,402.2900085449219,397.2200012207031,402.17999267578125,400.73358154296875,18631100
22-02-2024,Microsoft,410.19000244140625,412.8299865722656,408.57000732421875,411.6499938964844,410.1695251464844,27009900
23-02-2024,Microsoft,415.6700134277344,415.8599853515625,408.9700012207031,410.3399963378906,408.8642272949219,16295900
26-02-2024,Microsoft,411.4599914550781,412.1600036621094,407.3599853515625,407.5400085449219,406.0743103027344,16193500
27-02-2024,Microsoft,407.9899902,408.32000732421875,403.8500061035156,407.4800109863281,406.0145568847656,14835800
28-02-2024,Microsoft,408.17999267578125,409.29998779296875,405.32000732421875,407.7200012207031,406.2536926269531,13183100
29-02-2024,Microsoft,408.6400146484375,414.20001220703125,405.9200134277344,413.6400146484375,412.15240478515625,31947300
01-03-2024,Microsoft,411.2699890136719,415.8699951171875,410.8800048828125,415.5,414.00567626953125,17800300
04-03-2024,Microsoft,413.44000244140625,417.3500061035156,412.32000732421875,414.9200134277344,413.42779541015625,17596000
